Date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_position,volume_ratio,atr,label
2023-04-23,27591.384765625,27820.244140625,27400.314453125,27816.14453125,12785446832,49.233300267167586,81.55700779708422,361.5632361991852,-280.006228402101,31233.136632076174,26736.640516361324,0.2400767146480805,0.7713249958802663,1219.021484375,0
2023-04-24,27525.33984375,27979.982421875,27070.849609375,27591.73046875,17703288330,45.7344229426885,-23.51282053473915,284.5480248524004,-308.0608453871395,31247.343827677203,26702.079023885297,0.1957314883222002,1.06027457167855,1154.0239955357142,0
2023-04-25,28307.59765625,28371.078125,27207.931640625,27514.873046875,17733373139,35.71016028405627,-111.69561062480716,205.29929775695888,-316.99490838176604,31281.323652903986,26602.613847096014,0.1949809322746502,1.0599147252573269,1081.8875558035713,1
2023-04-26,28422.701171875,29995.837890625,27324.548828125,28300.05859375,31854242019,37.44287367145415,-116.8759226469374,140.86425367617966,-257.74017632311705,31279.604214427538,26616.81648869746,0.36099479625978176,1.8066394485567943,1214.9224330357142,1
2023-04-27,29473.787109375,29871.546875,28402.88671875,28428.46484375,27153445027,40.21272990409191,-109.35941870249007,90.81951920044571,-200.1789379029358,31273.46579295872,26661.90471485378,0.3830720441465269,1.4720224013039502,1279.94140625,1
2023-04-28,29340.26171875,29572.791015625,28929.609375,29481.013671875,17544464887,44.20832426766672,-18.26014962262343,69.0035854358319,-87.26373505845532,31307.48148473062,26783.939023081883,0.5962306470336725,0.9304982915398583,1282.1884765625,0
2023-04-29,29248.48828125,29452.455078125,29088.04296875,29336.56640625,10662634333,42.85732934110313,41.799155670694745,63.56269948280447,-21.763543812109724,31319.821028672886,26910.019401014615,0.5502621682608316,0.5677871999237275,1284.8394252232142,0
2023-04-30,29268.806640625,29952.029296875,29114.021484375,29245.515625,14652199272,43.30608260809666,81.11451310083794,67.07306220641117,14.041450894426774,31334.963609997616,26985.825647814887,0.5195719236395592,0.7899709757583546,1316.2896205357142,0
2023-05-01,28091.568359375,29329.935546875,27680.79296875,29227.103515625,18655599976,43.19829749645596,109.52398939253544,75.56324764363603,33.96074174889941,31301.597731571168,26976.53390905383,0.520355236113316,1.0098034578814221,1359.5265066964287,0
2023-05-02,28680.537109375,28881.298828125,27924.123046875,28087.17578125,16432924527,41.780722291125386,39.599583296087076,68.37051477412625,-28.770931478039174,31178.88961267771,26884.80140294729,0.28000691172997433,0.8948671243282512,1358.6356026785713,1
2023-05-03,29006.30859375,29259.533203125,28178.388671875,28680.494140625,19122972518,39.199109350076185,31.694466637374717,61.03530514677595,-29.34083850940123,31084.119648253356,26858.346757996645,0.4311986067281674,1.0367396648597957,1318.007114955357,1
2023-05-04,28847.7109375,29353.185546875,28694.0390625,29031.3046875,15548678514,51.54631437157976,53.124695596932725,59.453183236807305,-6.328487639874581,30904.698427833137,26899.942197166863,0.5322077968222653,0.8595305885275101,1197.704380580357,0
2023-05-05,29534.384765625,29668.908203125,28845.509765625,28851.48046875,17936566518,54.76554917439927,54.96439946157625,58.555426481761096,-3.591027020184846,30677.934581985523,26962.779089889475,0.50837747784143,0.9753685804819147,1138.9243861607142,1
2023-05-06,28904.623046875,29820.126953125,28468.966796875,29538.859375,15913866714,68.86956860125369,110.61303290867363,68.96694776714361,41.64608514153002,30537.063481613055,27025.938471511945,0.7157024874530714,0.8582383488477496,1158.3172433035713,0
2023-05-07,28454.978515625,29157.517578125,28441.3671875,28901.623046875,11301355486,58.88306698970376,102.11817501356563,75.59719321642802,26.52098179713761,30313.06095934077,27108.388650034227,0.5595687245878843,0.6204784338704333,1197.1131417410713,0
2023-05-08,27694.2734375,28663.271484375,27310.134765625,28450.45703125,19122903752,56.77595702525395,58.30846829359871,72.13944823186216,-13.830979938263454,30228.105577036793,27093.48055577571,0.4328991398557676,1.0509367198831658,1245.852818080357,0
2023-05-09,27658.775390625,27821.400390625,27375.6015625,27695.068359375,14128593256,51.284338586509236,-36.93878536357079,50.323801512775574,-87.26258687634636,29919.95491335244,27131.719305397557,0.2020449966172867,0.7994040412654007,1239.5463169642858,0
2023-05-10,27621.755859375,28322.6875,26883.669921875,27654.63671875,20656025026,44.8533804632294,-114.36706328883156,17.385628552454147,-131.7526918412857,29906.234833273393,27028.534697976607,0.2175702788118405,1.1709969908857223,1151.5269252232142,0
2023-05-11,27000.7890625,27621.94140625,26781.826171875,27621.0859375,16724343943,43.46304001578821,-176.40333124122844,-21.372163406282368,-155.03116783494607,29921.541570753016,26950.413507371984,0.2257298964639093,0.9590783498669686,1101.621372767857,0
2023-05-12,26804.990234375,27055.646484375,25878.4296875,26987.662109375,19313599897,28.342664033712666,-273.5264866527541,-71.80302805557672,-201.7234585971774,29958.118960698033,26886.012875239467,0.033087800781580225,1.0882540660603868,1144.3592354910713,0
2023-05-13,26784.078125,27030.482421875,26710.873046875,26807.76953125,9999171605,28.169209768099364,-360.8534210660255,-129.61310665766646,-231.240314408359,30050.957872622283,26692.336463315216,0.03436918124052559,0.5678762234411519,1139.119140625,0
2023-05-14,26930.638671875,27150.9765625,26661.35546875,26788.974609375,10014858959,28.525074844292803,-426.65897973236133,-189.02228127260543,-237.6366984597559,30123.876972673163,26539.14177732684,0.06969352502591847,0.5814617275441684,1114.234375,1
2023-05-15,27192.693359375,27646.34765625,26766.09765625,26931.384765625,14413231792,30.356830107958146,-461.99347642556313,-243.61652030319698,-218.37695612236615,30168.160232008406,26436.509689866594,0.13261560003267833,0.8449749903392108,1059.3134765625,1
2023-05-16,27036.650390625,27299.3046875,26878.947265625,27171.513671875,12732238816,40.73920582426617,-465.25673371880475,-287.94456298631854,-177.3121707324862,30179.067911827315,26312.747517860185,0.2221145860945211,0.7907494129661076,996.2689732142857,0
2023-05-17,27398.802734375,27465.927734375,26600.14453125,27035.470703125,15140006925,31.666882883384886,-473.3637762993385,-325.02840564892256,-148.33537065041594,30180.783081867157,26171.73293375784,0.21544698555953481,0.9767234829619246,974.3708147321429,1
2023-05-18,26832.208984375,27466.52734375,26415.1015625,27401.650390625,15222938600,31.900169504982117,-445.110073605465,-349.0447392402311,-96.06533436523392,30006.33472998533,26138.24495751467,0.326622572749483,0.9894832822296868,1001.4232700892857,0
2023-05-19,26890.12890625,27128.619140625,26700.2109375,26826.75390625,11258983301,29.326538035692067,-463.7621904922489,-371.98822949063464,-91.77396100161428,29861.040709880228,26032.55772761977,0.20744409268898253,0.7304125733014729,992.7119140625,1
2023-05-20,27129.5859375,27155.158203125,26843.27734375,26888.841796875,7044911360,18.98119634671879,-468.1377530118989,-391.2181341948875,-76.91961881701138,29696.15797852253,25961.77307616497,0.2482520535375884,0.4685927228600992,919.6579241071429,1
2023-05-21,26753.826171875,27265.91796875,26706.921875,27118.423828125,8647416921,26.925335986040935,-447.91676100579207,-402.55785955706847,-45.3589014487236,29493.94270586374,25953.12038007376,0.32910531532848175,0.5949874888157287,881.1939174107143,0
2023-05-22,26851.27734375,27045.734375,26549.734375,26749.892578125,11056770492,27.51374320974645,-456.36814321176644,-413.3199162880081,-43.048226923758364,29469.74902179358,25843.585743831416,0.24993547306642827,0.775099362916492,808.1368582589286,1
2023-05-23,27225.7265625,27434.68359375,26816.1796875,26855.9609375,13697203143,36.6043795347329,-449.3275263208707,-420.5214382945806,-28.80608802629007,29344.912696481242,25785.96874883126,0.30064878919356697,0.9788132900622276,780.2751116071429,1
2023-05-24,26334.818359375,27224.603515625,26106.576171875,27224.603515625,16299104428,43.7860647682739,-409.2834467260582,-418.2738399808761,8.990393254817945,29119.565375929666,25830.645952195333,0.4238345133572558,1.1616325864077996,757.3472377232143,0
2023-05-25,26476.20703125,26591.51953125,25890.59375,26329.4609375,13851122697,35.056946619944014,-444.65306641842835,-423.54968526838655,-21.1033811500418,28934.81292535982,25763.19644964018,0.17854128713066839,1.001749508909698,790.2900390625,1
2023-05-26,26719.291015625,26916.669921875,26343.94921875,26474.181640625,12711619225,43.30205782453309,-455.752364031614,-429.9902210210321,-25.762143010581894,28447.757115209864,25943.784486352637,0.21182226521159206,0.9301080457989518,707.7580915178571,1
2023-05-27,26868.353515625,26888.8828125,26621.140625,26720.181640625,7892015141,48.8768561489277,-439.6307041669388,-431.91831765021345,-7.71238651672536,28062.59778241101,26110.79967852649,0.3122156748106792,0.5847516852945606,714.5503627232143,1
